antecedent,consequent,support,confidence
{1 34 48},{30},0.106,1.0
{30 34},{1 48},0.368,0.287
{1 30},{34 48},0.31,0.341
{1 34},{30 48},0.352,0.3
{30 48},{1 34},0.282,0.375
{34 48},{1 30},0.316,0.334
{1 48},{30 34},0.466,0.227
{30},{1 34 48},0.563,0.188
{34},{1 30 48},0.641,0.165
{1},{30 34 48},0.52,0.203
{48},{1 30 34},0.479,0.221
{19 30 34},{48},0.215,0.519
{19 30 48},{34},0.165,0.673
{30 34 48},{19},0.106,1.054
{19 34 48},{30},0.111,1.0
{19 30},{34 48},0.316,0.352
{30 34},{19 48},0.368,0.303
{19 34},{30 48},0.36,0.31
{30 48},{19 34},0.282,0.395
{19 48},{30 34},0.268,0.416
{34 48},{19 30},0.316,0.352
{30},{19 34 48},0.563,0.198
{19},{30 34 48},0.54,0.207
{34},{19 30 48},0.641,0.174
{48},{19 30 34},0.479,0.233
{18 30 34},{48},0.27,0.392
{30 34 48},{18},0.106,1.0
{18 30 48},{34},0.106,1.0
{18 34 48},{30},0.235,0.45
{30 34},{18 48},0.368,0.287
{18 30},{34 48},0.397,0.267
{18 34},{30 48},0.466,0.227
{30 48},{18 34},0.282,0.375
{34 48},{18 30},0.316,0.334
{18 48},{30 34},0.348,0.304
{30},{18 34 48},0.563,0.188
{34},{18 30 48},0.641,0.165
{18},{30 34 48},0.705,0.15
{48},{18 30 34},0.479,0.221
{14 18 34},{48},0.36,0.519
{14 34 48},{18},0.187,1.0
{14 18 48},{34},0.27,0.693
{18 34 48},{14},0.235,0.796
{14 34},{18 48},0.475,0.394
{14 18},{34 48},0.527,0.355
{18 34},{14 48},0.466,0.401
{14 48},{18 34},0.356,0.526
{34 48},{14 18},0.316,0.592
{18 48},{14 34},0.348,0.538
{14},{18 34 48},0.717,0.261
{34},{14 18 48},0.641,0.292
{18},{14 34 48},0.705,0.265
{48},{14 18 34},0.479,0.391
{14 30 34},{48},0.216,0.553
{14 30 48},{34},0.119,1.0
{30 34 48},{14},0.106,1.129
{14 34 48},{30},0.187,0.638
{14 30},{34 48},0.421,0.284
{30 34},{14 48},0.368,0.325
{14 34},{30 48},0.475,0.252
{30 48},{14 34},0.282,0.423
{14 48},{30 34},0.356,0.336
{34 48},{14 30},0.316,0.378
{30},{14 34 48},0.563,0.212
{14},{30 34 48},0.717,0.167
{34},{14 30 48},0.641,0.186
{48},{14 30 34},0.479,0.249
{14 18 30},{48},0.31,0.386
{14 30 48},{18},0.119,1.0
{18 30 48},{14},0.106,1.129
{14 18 48},{30},0.27,0.442
{14 30},{18 48},0.421,0.284
{18 30},{14 48},0.397,0.301
{14 18},{30 48},0.527,0.227
{30 48},{14 18},0.282,0.423
{14 48},{18 30},0.356,0.336
{18 48},{14 30},0.348,0.344
{30},{14 18 48},0.563,0.212
{14},{18 30 48},0.717,0.167
{18},{14 30 48},0.705,0.169
{48},{14 18 30},0.479,0.249
{1 18 34},{48},0.271,0.391
{18 34 48},{1},0.235,0.45
{1 34 48},{18},0.106,1.0
{1 18 48},{34},0.106,1.0
{18 34},{1 48},0.466,0.227
{1 34},{18 48},0.352,0.3
{1 18},{34 48},0.387,0.273
{34 48},{1 18},0.316,0.334
{18 48},{1 34},0.348,0.304
{1 48},{18 34},0.466,0.227
{34},{1 18 48},0.641,0.165
{18},{1 34 48},0.705,0.15
{1},{18 34 48},0.52,0.203
{48},{1 18 34},0.479,0.221
{1 18 30},{48},0.131,0.805
{18 30 48},{1},0.106,1.0
{1 30 48},{18},0.106,1.0
{1 18 48},{30},0.106,1.0
{18 30},{1 48},0.397,0.267
{1 30},{18 48},0.31,0.341
{1 18},{30 48},0.387,0.273
{30 48},{1 18},0.282,0.375
{18 48},{1 30},0.348,0.304
{1 48},{18 30},0.466,0.227
{30},{1 18 48},0.563,0.188
{18},{1 30 48},0.705,0.15
{1},{18 30 48},0.52,0.203
{48},{1 18 30},0.479,0.221
{1 30 34},{16},0.214,0.602
{16 30 34},{1},0.192,0.67
{1 16 30},{34},0.195,0.66
{1 16 34},{30},0.128,1.0
{30 34},{1 16},0.368,0.349
{1 30},{16 34},0.31,0.414
{1 34},{16 30},0.352,0.365
{16 30},{1 34},0.29,0.443
{16 34},{1 30},0.332,0.387
{1 16},{30 34},0.492,0.261
{30},{1 16 34},0.563,0.228
{34},{1 16 30},0.641,0.201
{1},{16 30 34},0.52,0.247
{16},{1 30 34},0.513,0.25
{19 30 34},{16},0.215,0.526
{16 19 30},{34},0.167,0.676
{16 30 34},{19},0.192,0.588
{16 19 34},{30},0.113,1.0
{19 30},{16 34},0.316,0.357
{30 34},{16 19},0.368,0.306
{19 34},{16 30},0.36,0.314
{16 30},{19 34},0.29,0.389
{16 19},{30 34},0.286,0.394
{16 34},{19 30},0.332,0.339
{30},{16 19 34},0.563,0.2
{19},{16 30 34},0.54,0.209
{34},{16 19 30},0.641,0.176
{16},{19 30 34},0.513,0.22
{18 30 34},{16},0.27,0.42
{16 30 34},{18},0.192,0.59
{16 18 30},{34},0.113,1.0
{16 18 34},{30},0.246,0.461
{30 34},{16 18},0.368,0.307
{18 30},{16 34},0.397,0.285
{18 34},{16 30},0.466,0.242
{16 30},{18 34},0.29,0.39
{16 34},{18 30},0.332,0.34
{16 18},{30 34},0.369,0.307
{30},{16 18 34},0.563,0.201
{34},{16 18 30},0.641,0.177
{18},{16 30 34},0.705,0.16
{16},{18 30 34},0.513,0.22
{14 18 34},{16},0.36,0.54
{14 16 34},{18},0.195,1.0
{14 16 18},{34},0.28,0.694
{16 18 34},{14},0.246,0.792
{14 34},{16 18},0.475,0.41
{14 18},{16 34},0.527,0.369
{18 34},{14 16},0.466,0.417
{14 16},{18 34},0.38,0.512
{16 34},{14 18},0.332,0.585
{16 18},{14 34},0.369,0.528
{14},{16 18 34},0.717,0.271
{34},{14 16 18},0.641,0.304
{18},{14 16 34},0.705,0.276
{16},{14 18 34},0.513,0.379
{14 30 34},{16},0.216,0.524
{14 16 30},{34},0.113,1.0
{16 30 34},{14},0.192,0.59
{14 16 34},{30},0.195,0.581
{14 30},{16 34},0.421,0.269
{30 34},{14 16},0.368,0.307
{14 34},{16 30},0.475,0.238
{16 30},{14 34},0.29,0.39
{14 16},{30 34},0.38,0.298
{16 34},{14 30},0.332,0.34
{30},{14 16 34},0.563,0.201
{14},{16 30 34},0.717,0.158
{34},{14 16 30},0.641,0.177
{16},{14 30 34},0.513,0.22
{14 18 30},{16},0.31,0.365
{14 16 30},{18},0.113,1.0
{16 18 30},{14},0.113,1.0
{14 16 18},{30},0.28,0.404
{14 30},{16 18},0.421,0.269
{18 30},{14 16},0.397,0.285
{14 18},{16 30},0.527,0.215
{16 30},{14 18},0.29,0.39
{14 16},{18 30},0.38,0.298
{16 18},{14 30},0.369,0.307
{30},{14 16 18},0.563,0.201
{14},{16 18 30},0.717,0.158
{18},{14 16 30},0.705,0.16
{16},{14 18 30},0.513,0.22
{19 30 34},{1},0.215,0.597
{1 19 30},{34},0.177,0.725
{1 30 34},{19},0.214,0.6
{1 19 34},{30},0.128,1.0
{19 30},{1 34},0.316,0.405
{30 34},{1 19},0.368,0.348
{19 34},{1 30},0.36,0.356
{1 30},{19 34},0.31,0.413
{1 19},{30 34},0.288,0.444
{1 34},{19 30},0.352,0.364
{30},{1 19 34},0.563,0.227
{19},{1 30 34},0.54,0.237
{34},{1 19 30},0.641,0.2
{1},{19 30 34},0.52,0.246
{6 19 30},{1},0.179,0.578
{1 6 30},{19},0.103,1.0
{1 19 30},{6},0.177,0.585
{1 6 19},{30},0.167,0.62
{6 30},{1 19},0.307,0.337
{19 30},{1 6},0.316,0.327
{6 19},{1 30},0.298,0.347
{1 30},{6 19},0.31,0.334
{1 6},{19 30},0.284,0.364
{1 19},{6 30},0.288,0.359
{30},{1 6 19},0.563,0.184
{6},{1 19 30},0.528,0.196
