antecedent,consequent,support,confidence
{32 48},{30},0.205,0.602
{30},{32 48},0.563,0.219
{48},{30 32},0.479,0.257
{32},{30 48},0.413,0.298
{30 39},{48},0.193,0.542
{39 48},{30},0.162,0.645
{30 48},{39},0.282,0.37
{39},{30 48},0.316,0.331
{30},{39 48},0.563,0.185
{48},{30 39},0.479,0.218
{30 49},{16},0.229,0.543
{16 30},{49},0.29,0.429
{16 49},{30},0.212,0.586
{30},{16 49},0.563,0.221
{49},{16 30},0.389,0.32
{16},{30 49},0.513,0.243
{26 30},{49},0.245,0.422
{30 49},{26},0.229,0.45
{26 49},{30},0.164,0.628
{30},{26 49},0.563,0.183
{26},{30 49},0.412,0.25
{49},{26 30},0.389,0.265
{30 49},{32},0.229,0.448
{30 32},{49},0.245,0.42
{32 49},{30},0.173,0.595
{30},{32 49},0.563,0.182
{49},{30 32},0.389,0.264
{32},{30 49},0.413,0.249
{26 30},{16},0.245,0.535
{16 30},{26},0.29,0.451
{16 26},{30},0.222,0.589
{30},{16 26},0.563,0.232
{26},{16 30},0.412,0.317
{16},{26 30},0.513,0.255
{12 30},{16},0.215,0.551
{16 30},{12},0.29,0.409
{12 16},{30},0.201,0.59
{30},{12 16},0.563,0.21
{12},{16 30},0.365,0.324
{16},{12 30},0.513,0.231
{30 46},{16},0.226,0.541
{16 30},{46},0.29,0.421
{16 46},{30},0.197,0.621
{30},{16 46},0.563,0.217
{46},{16 30},0.372,0.328
{16},{30 46},0.513,0.238
{30 32},{16},0.245,0.544
{16 30},{32},0.29,0.459
{16 32},{30},0.224,0.595
{30},{16 32},0.563,0.236
{32},{16 30},0.413,0.323
{16},{30 32},0.513,0.259
{30 39},{16},0.193,0.528
{16 39},{30},0.17,0.599
{16 30},{39},0.29,0.351
{39},{16 30},0.316,0.322
{30},{16 39},0.563,0.181
{16},{30 39},0.513,0.198
{26 30},{46},0.245,0.417
{30 46},{26},0.226,0.452
{26 46},{30},0.16,0.637
{30},{26 46},0.563,0.181
{26},{30 46},0.412,0.248
{46},{26 30},0.372,0.274
{26 30},{32},0.245,0.42
{30 32},{26},0.245,0.42
{26 32},{30},0.17,0.605
{30},{26 32},0.563,0.182
{26},{30 32},0.412,0.249
{32},{26 30},0.413,0.249
{30 46},{32},0.226,0.464
{30 32},{46},0.245,0.428
{32 46},{30},0.163,0.642
{30},{32 46},0.563,0.186
{46},{30 32},0.372,0.281
{32},{30 46},0.413,0.254
{34 44},{48},0.25,0.509
{44 48},{34},0.186,0.684
{34 48},{44},0.316,0.402
{44},{34 48},0.373,0.341
{34},{44 48},0.641,0.198
{48},{34 44},0.479,0.266
{34 44},{16},0.25,0.516
{16 44},{34},0.196,0.659
{16 34},{44},0.332,0.388
{44},{16 34},0.373,0.345
{34},{16 44},0.641,0.201
{16},{34 44},0.513,0.251
{34 44},{26},0.25,0.425
{26 44},{34},0.157,0.677
{26 34},{44},0.27,0.394
{44},{26 34},0.373,0.284
{34},{26 44},0.641,0.166
{26},{34 44},0.412,0.257
{34 44},{32},0.25,0.46
{32 44},{34},0.164,0.699
{32 34},{44},0.277,0.414
{44},{32 34},0.373,0.308
{34},{32 44},0.641,0.179
{32},{34 44},0.413,0.278
{34 49},{48},0.254,0.514
{34 48},{49},0.316,0.412
{48 49},{34},0.191,0.684
{34},{48 49},0.641,0.204
{49},{34 48},0.389,0.336
{48},{34 49},0.479,0.272
{15 34},{48},0.202,0.518
{15 48},{34},0.155,0.672
{34 48},{15},0.316,0.33
{15},{34 48},0.305,0.342
{34},{15 48},0.641,0.163
{48},{15 34},0.479,0.218
{34 48},{16},0.316,0.521
{16 48},{34},0.248,0.665
{16 34},{48},0.332,0.496
{48},{16 34},0.479,0.344
{34},{16 48},0.641,0.257
{16},{34 48},0.513,0.321
{26 34},{48},0.27,0.502
{34 48},{26},0.316,0.428
{26 48},{34},0.205,0.661
{34},{26 48},0.641,0.211
{26},{34 48},0.412,0.328
{48},{26 34},0.479,0.283
{12 34},{48},0.238,0.513
{12 48},{34},0.182,0.67
{34 48},{12},0.316,0.385
{12},{34 48},0.365,0.333
{34},{12 48},0.641,0.19
{48},{12 34},0.479,0.254
{34 42},{48},0.209,0.503
{42 48},{34},0.16,0.656
{34 48},{42},0.316,0.332
{42},{34 48},0.317,0.331
{34},{42 48},0.641,0.164
{48},{34 42},0.479,0.22
{34 46},{48},0.253,0.515
{46 48},{34},0.19,0.685
{34 48},{46},0.316,0.411
{46},{34 48},0.372,0.349
{34},{46 48},0.641,0.203
{48},{34 46},0.479,0.272
{34 48},{32},0.316,0.445
{32 48},{34},0.205,0.688
{32 34},{48},0.277,0.508
{48},{32 34},0.479,0.294
{34},{32 48},0.641,0.22
{32},{34 48},0.413,0.341
{34 39},{48},0.21,0.522
{39 48},{34},0.162,0.676
{34 48},{39},0.316,0.346
{39},{34 48},0.316,0.346
{34},{39 48},0.641,0.171
{48},{34 39},0.479,0.229
{34 49},{16},0.254,0.545
{16 34},{49},0.332,0.416
{16 49},{34},0.212,0.651
{34},{16 49},0.641,0.216
{49},{16 34},0.389,0.355
{16},{34 49},0.513,0.269
{26 34},{49},0.27,0.401
{34 49},{26},0.254,0.426
{26 49},{34},0.164,0.659
{34},{26 49},0.641,0.169
{26},{34 49},0.412,0.262
{49},{26 34},0.389,0.278
{34 46},{49},0.253,0.417
{46 49},{34},0.149,0.707
{34 49},{46},0.254,0.416
{46},{34 49},0.372,0.283
{34},{46 49},0.641,0.165
{49},{34 46},0.389,0.271
{34 49},{32},0.254,0.451
{32 34},{49},0.277,0.413
{32 49},{34},0.173,0.662
{34},{32 49},0.641,0.179
{49},{32 34},0.389,0.294
{32},{34 49},0.413,0.277
{15 34},{16},0.202,0.55
{15 16},{34},0.163,0.678
{16 34},{15},0.332,0.333
{15},{16 34},0.305,0.363
{34},{15 16},0.641,0.173
{16},{15 34},0.513,0.216
{26 34},{16},0.27,0.552
{16 34},{26},0.332,0.448
{16 26},{34},0.222,0.671
{34},{16 26},0.641,0.232
{26},{16 34},0.412,0.361
{16},{26 34},0.513,0.29
{12 34},{16},0.238,0.572
{12 16},{34},0.201,0.676
{16 34},{12},0.332,0.409
{12},{16 34},0.365,0.372
{34},{12 16},0.641,0.212
{16},{12 34},0.513,0.265
{34 42},{16},0.209,0.551
{16 42},{34},0.17,0.679
{16 34},{42},0.332,0.346
{42},{16 34},0.317,0.363
{34},{16 42},0.641,0.18
{16},{34 42},0.513,0.224
